tracking_number,service_type,carrier_code,package_weight_kg,packaging_type,origin_city,origin_state,origin_pincode,destination_city,destination_state,destination_pincode,pickup_datetime_ist,delivery_datetime_ist,total_transit_hours,num_facilities_visited,num_in_transit_events,time_in_inter_facility_transit_hours,avg_hours_per_facility,is_express_service,delivery_location_type,num_out_for_delivery_attempts,first_attempt_delivery,total_events_count
281176409884,FEDEX_EXPRESS_SAVER,FDXE,6.0,Your Packaging,Mumbai,MH,400012,Hyderabad,TS,500034,2021-07-08 16:53:00 IST,2021-07-13 16:13:00 IST,119.33333333333333,0,5,95.33333333333333,NULL,False,RESIDENCE,2,False,15
281097610455,FEDEX_EXPRESS_SAVER,FDXE,18.0,Your Packaging,Mumbai,MH,400012,Bangalore,KA,560038,2021-07-05 16:13:00 IST,2021-07-09 16:37:00 IST,96.4,0,4,71.65,NULL,False,RESIDENCE,0,NULL,13
281333571565,FEDEX_EXPRESS_SAVER,FDXE,17.236496,Your Packaging,Mumbai,MH,400012,Mumbai,MH,400088,2021-07-12 19:20:00 IST,2021-07-14 12:35:00 IST,41.25,0,3,24.333333333333332,NULL,False,RECEPTIONIST_OR_FRONT_DESK,2,False,12
281095533884,FEDEX_EXPRESS_SAVER,FDXE,12.0,Your Packaging,Goa,GA,403722,Chennai,TN,600050,2021-07-07 19:22:00 IST,2021-07-14 18:53:00 IST,167.51666666666668,0,5,136.13333333333333,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,13
280267329094,FEDEX_EXPRESS_SAVER,FDXE,20.0,Your Packaging,Delhi,DL,110064,Noida,UP,201301,2021-06-11 18:56:00 IST,2021-06-16 11:28:00 IST,112.53333333333333,0,7,107.55,NULL,False,RECEPTIONIST_OR_FRONT_DESK,0,NULL,18
280267328981,FEDEX_EXPRESS_SAVER,FDXE,20.0,Your Packaging,Delhi,DL,110064,Hyderabad,TS,500050,2021-06-11 18:56:00 IST,2021-06-18 17:18:00 IST,166.36666666666667,0,9,155.63333333333333,NULL,False,IN_BOND_OR_CAGE,0,NULL,16
281038348186,FEDEX_EXPRESS_SAVER,FDXE,2.0,Your Packaging,Mumbai,MH,400059,Pune,MH,411048,2021-07-03 18:03:00 IST,2021-07-07 16:13:00 IST,94.16666666666667,0,4,71.1,NULL,False,RESIDENCE,2,False,14
280439181099,FEDEX_EXPRESS_SAVER,FDXE,32.0,Your Packaging,Delhi,DL,110064,Chennai,TN,600112,2021-06-16 19:22:00 IST,2021-06-24 18:22:00 IST,191.0,0,5,180.15,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,16
281222569500,FEDEX_EXPRESS_SAVER,FDXE,22.5,Your Packaging,Delhi,DL,110064,Jammu,JK,181205,2021-07-09 14:35:00 IST,2021-07-15 18:23:00 IST,147.8,0,5,64.8,NULL,False,RECEPTIONIST_OR_FRONT_DESK,0,NULL,12
280307632740,FEDEX_EXPRESS_SAVER,FDXE,2.0,Your Packaging,Mumbai,MH,400059,Pune,MH,411045,2021-06-14 19:31:00 IST,2021-06-16 16:30:00 IST,44.983333333333334,0,4,38.13333333333333,NULL,False,RESIDENCE,1,True,11
280307633276,FEDEX_EXPRESS_SAVER,FDXE,2.0,Your Packaging,Mumbai,MH,400059,Pune,MH,411045,2021-06-14 19:31:00 IST,2021-06-16 16:30:00 IST,44.983333333333334,0,4,38.166666666666664,NULL,False,RESIDENCE,1,True,11
280993568461,FEDEX_EXPRESS_SAVER,FDXE,1.5,Your Packaging,Pune,MH,411003,Mumbai,MH,400059,2021-07-03 16:19:00 IST,2021-07-06 10:30:00 IST,66.18333333333334,0,3,41.38333333333333,NULL,False,RESIDENCE,2,False,12
